ID	Names	InChIKey
11909	(3beta,5alpha)-3-hydroxypregnan-20-one|3beta-Hydroxy-5alpha-pregnane-20-one|3beta-hydroxy-5alpha-pregnan-20-one|3beta-hydroxy-5alpha-pregnane-20-one|5alpha-pregnan-3beta-ol-20-one|allopregnan-3beta-ol-20-one	AURFZBICLPNKBZ-FZCSVUEKSA-N
11935	4-(beta-D-Glucosyloxy)benzoate|4-(beta-D-glucopyranosyloxy)benzoate|4-(beta-D-glucosyloxy)benzoate	XSSDYIMYZONMBL-BZNQNGANSA-N
11944	4-(hydroxymethyl)benzenesulfonate	VVQVMHASNBSOOC-UHFFFAOYSA-N
11951	4-acetamidobutanoate|N-acetyl-4-aminobutyrate|N-acetyl-gamma-aminobutyrate|N4-Acetylaminobutanoate	UZTFMUBKZQVKLK-UHFFFAOYSA-N
11987	4-formylbenzenesulfonate	XSAOGXMGZVFIIE-UHFFFAOYSA-N
12040	4-oxohex-2-enedioate	SOXXPQLIZIPMIZ-UHFFFAOYSA-N
12060	5'-deoxy-5'-fluoroadenosine|5'-fluoro-5'-deoxyadenosine|6-amino-9-(5-deoxy-5-fluoro-beta-D-ribofuranosyl)-9H-purine|9-(5-deoxy-5-fluoro-beta-D-ribofuranosyl)-9H-purin-6-amine	QPVLKMICBYRPSX-KQYNXXCUSA-N
121196	1-demethyltoxoflavin|6-methyl-8H-pyrimido[5,4-e][1,2,4]triazine-5,7-dione|6-methyl-pyrimido-[5,4-e]-as-triazine-5,7(6H,8H)-dione|6-methylpyrimido[5,4-e][1,2,4]triazine-5,7(6H,8H)-dione|reumicine|reumitsin|reumycin|rheumycin|rheumygin	ZLLAXLPOOMLVRF-UHFFFAOYSA-N
12154	4-acetylbutyrate|5-ketocaproate|5-ketohexanoate|5-oxohexanoate|delta-ketocaproate|delta-oxocaproate|gamma-acetylbutyrate	MGTZCLMLSSAXLD-UHFFFAOYSA-N
1230	2-O-beta-D-Glucopyranosyl-D-glucopyranose|2-O-beta-D-Glucopyranosyl-D-glucose|2-O-beta-D-glucopyranosyl-D-glucopyranose|2-O-beta-D-glucopyranosyl-D-glucose|Sophorose|beta-D-Glc-(1->2)-D-Glc|beta-D-glucopyranosyl-(1->2)-D-glucopyranose|sophorose	HIWPGCMGAMJNRG-RTPHMHGBSA-N
1233	2-Octaprenyl-6-hydroxyphenol|3-(all-trans-octaprenyl)benzene-1,2-diol|3-Octaprenylcatechol|3-[(2E,6E,10E,14E,18E,22E,26E)-3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaen-1-yl]benzene-1,2-diol	YNPGYMZVNLIZLD-BQFKTQOQSA-N
1235	2-Octaprenyl-6-methoxyphenol|2-methoxy-6-(all-trans-octaprenyl)phenol|2-methoxy-6-[(2E,6E,10E,14E,18E,22E,26E)-3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaen-1-yl]phenol|6-methoxy-2-octaprenylphenol	MARGKPIMNMASKJ-CMAXTTDKSA-N
125358	N-[2-hydroxy-2-(4-hydroxyphenyl)ethyl]acetamide|N-acetylnorsynephrine|N-acetyloctopamine	KAWMSLLRABYLGN-UHFFFAOYSA-N
125610	N-(4-hydroxyphenethyl)acetamide|N-(p-hydroxyphenethyl)acetamide|N-[2-(4-hydroxyphenyl)ethyl]acetamide|N-acetyl tyramine|N-acetyltyramine	ATDWJOOPFDQZNK-UHFFFAOYSA-N
125678	N-[2-(3,4-dihydroxyphenyl)ethyl]acetamide|N-acetyl-dopamine|NADA|NSC 314644	OFSAJYZMIPNPHE-UHFFFAOYSA-N
